title,description,image_url,reviews,price
JOY: A New True Musical,Betsy Wolfe stars as inventor Joy Mangano in this new musical.,https://imaging.broadway.com/images/poster-178275/w77/135134-3.jpg,N/A,$81.90
"Oh, Mary!","Cole Escola's hit comedy is now nominated for five Tony Awards, including Best Play.",https://imaging.broadway.com/images/poster-178275/w77/132576-7.jpg,144,$85.50
Maybe Happy Ending,Darren Criss and Helen J. Shen star in the Broadway premiere of this new romantic musical comedy.,https://imaging.broadway.com/images/poster-178275/w77/133091-3.jpg,172,$65.10
Mamma Mia!,The smash hit musical featuring the songs of ABBA returns to Broadway for a limited run.,https://imaging.broadway.com/images/poster-178275/w77/133291-3.jpg,N/A,$96.30
Purpose,"Branden Jacobs-Jenkins epic family drama arrives on Broadway, directed by Phylicia Rashad.",https://imaging.broadway.com/images/poster-178275/w77/132837-3.jpg,94,$77.90
Glengarry Glen Ross,"Kieran Culkin, Bob Odenkirk and Bill Burr star in the Broadway revival of David Mamet's classic.",https://imaging.broadway.com/images/poster-178275/w77/132220-3.jpg,65,$88.40
The Picture of Dorian Gray,Sarah Snook stars in Kip Williams' adaptation of Oscar Wilde's classic tale.,https://imaging.broadway.com/images/poster-178275/w77/133825-3.jpg,96,$220.70
John Proctor is the Villain,Sadie Sink stars in the new comedy from Kimberly Belflower that flips the script on an American classic.,https://imaging.broadway.com/images/poster-178275/w77/131912-18.jpg,30,$80.10
BOOP! The Musical,A new musical based on the iconic 1930s cartoon character.,https://imaging.broadway.com/images/poster-178275/w77/130097-9.jpg,119,$64.10
Call Me Izzy,Jean Smart returns to Broadway in the world premiere of Jamie Wax's new play.,https://imaging.broadway.com/images/poster-178275/w77/133519-3.jpg,6,$66.10
Heathers The Musical,The fan-favorite musical based on the 1989 movie of the same returns to the New York stage.,https://imaging.broadway.com/images/poster-178275/w77/133313-3.png,N/A,$81.10
Pirates! The Penzance Musical,"Ramin Karimloo, Jinkx Monsoon and David Hyde Pierce lead the jazz-infused reimagining of Gilbert & Sullivan's classic musical.",https://imaging.broadway.com/images/poster-178275/w77/133316-3.jpg,43,$57.90
The Queen of Versailles,Kristin Chenoweth and F. Murray Abraham star in Stephen Schwartz's new musical about billionarie-couple Jackie and David Siegel.,https://imaging.broadway.com/images/poster-178275/w77/133422-3.jpg,N/A,$79.20
Waiting For Godot,Keanu Reeves and Alex Winter star in Jamie Lloyd's production of Samuel Beckett's classic.,https://imaging.broadway.com/images/poster-178275/w77/134458-5.jpg,N/A,$126.80
Art,"Bobby Cannavale, James Corden and Neil Patrick Harris return to Broadway in Yasmina Reza's comedy.",https://imaging.broadway.com/images/poster-178275/w77/135391-1.jpg,N/A,$80.10
Beetlejuice,"BEETLEJUICE… BEETLEJUICE… BEEEE… very excited, because the third time’s the charm!",https://imaging.broadway.com/images/poster-178275/w77/135457-9.jpg,N/A,$64.10
Stephen Sondheim's Old Friends,Bernadette Peters and Lea Salonga star in a revue of legendary composer Stephen Sondheim's work.,https://imaging.broadway.com/images/poster-178275/w77/131349-3.jpg,45,$90.90
Ragtime,Ahrens and Flaherty's powerful adaptation of E.L. Doctorow's novel returns to Broadway.,https://imaging.broadway.com/images/poster-178275/w77/134956-1.jpg,N/A,$64.10
Amaze Magic,Revolutionary magician Jamie Allan brings his record-shattering spectacle to New York City!,https://imaging.broadway.com/images/poster-178275/w77/135399-3.jpg,N/A,$65.10
Friends! The Musical Parody,They'll be there for you! TV's favorite friends hit the stage in this musical parody.,https://imaging.broadway.com/images/poster-178275/w77/126699-3.png,16,$63.40
Titanique,The music of Céline Dion combines with the Oscar-winning Titanic for a hysterical and joyful slay-fest.,https://imaging.broadway.com/images/poster-178275/w77/124907-7.jpg,36,$147.90
Gazillion Bubble Show,Step into an interactive bubble world and be dazzled by jaw-dropping masterpieces of bubble artistry.,https://imaging.broadway.com/images/poster-178275/w77/113027-9.jpg,4,$59.70
Dilaria,The world premiere of Julia Randall's new play arrives off-Broadway.,https://imaging.broadway.com/images/poster-178275/w77/134985-1.jpg,N/A,$64.10
Perfect Crime,New York's Longest Running Play. Think you can solve the perfect crime?,https://imaging.broadway.com/images/poster-178275/w77/126740-3.png,13,$66.60
The Office! A Musical Parody,Come see your favorite paper people in this musical parody.,https://imaging.broadway.com/images/poster-178275/w77/126697-3.png,21,$63.40
Jeff Ross: Take A Banana For The Ride,"""Roastmaster General"" Jeff Ross brings his one-man show to Broadway.",https://imaging.broadway.com/images/poster-178275/w77/135805-0.jpg,N/A,$74.90
Singfeld! A Musical About Nothing!,Seinfeld hits the stage in musical parody form!,https://imaging.broadway.com/images/poster-178275/w77/126698-3.png,5,$63.40
Lunar Eclipse,A stirring new play from Pultizer Prize-winning playwright Donald Margulies.,https://imaging.broadway.com/images/poster-178275/w77/134249-5.jpg,3,$90.20
Pen Pals,Pen Pals is the extraordinary story of two friends that unfolds over decades.,https://imaging.broadway.com/images/poster-178275/w77/135394-5.jpg,N/A,$54.30
Rolling Thunder,A new rock musical telling the story of the Vietnam War protest movement.,https://imaging.broadway.com/images/poster-178275/w77/134884-5.jpg,N/A,$53.20
Wesley,A new musical about an owl and his girl.,https://imaging.broadway.com/images/poster-178275/w77/135136-3.png,N/A,$66.60
Ginger Twinsies,Kevin Zak's Parent Trap parody sets up camp off-Broadway.,https://imaging.broadway.com/images/poster-178275/w77/134557-1.jpg,N/A,$53.20
Last Call,Two musical legends. One last drink.,N/A,N/A,$88.70
Dolly: A True Original Musical,A new musical inspired by the life and music of the legendary Dolly Parton arrives on Broadway.,https://imaging.broadway.com/images/poster-178275/w77/132830-5.jpg,N/A,N/A
Midnight in the Garden of Good and Evil,The new musical adapted from John Berendt’s 1994 blockbuster non-fiction book arrives on Broadway.,N/A,N/A,N/A
"The Lost Boys, A New Musical",A new musical based the classic 1987 film of the same name.,https://imaging.broadway.com/images/poster-178275/w77/132699-5.jpg,N/A,N/A
All Out: Comedy About Life,The companion piece of Simon Rich's All In arrives on Broadway.,N/A,N/A,N/A
Marjorie Prime,Jordan Harrison's new family drama receives its Broadway premiere.,N/A,N/A,N/A
Oedipus,Mark Strong and Lesley Manville star in the Broadway transfer of Robert Icke's take on Sophocles' tragedy.,https://imaging.broadway.com/images/poster-178275/w77/133471-5.jpg,N/A,N/A
The 25th Annual Putnam County Spelling Bee,William Finn & Rachel Sheinkin’s landmark Tony Award-winning musical comedy returns to the New York stage.,https://imaging.broadway.com/images/poster-178275/w77/135791-7.jpg,N/A,N/A
Becky Shaw,N/A,N/A,N/A,N/A
Dog Day Afternoon,Jon Bernthal and Ebon Moss-Bachrach star in Stephen Adly Guirgis' new play.,https://imaging.broadway.com/images/poster-178275/w77/135515-3.jpg,N/A,N/A
The Rocky Horror Show,The legendary rock musical returns to Broadway at the iconic Studio 54.,https://imaging.broadway.com/images/poster-178275/w77/133470-5.jpg,N/A,N/A
Fallen Angels,Kelli O'Hara and Rose Byrne star in Noël Coward's comedy of bad manners.,https://imaging.broadway.com/images/poster-178275/w77/133472-5.jpg,N/A,N/A
Punch,Manhattan Theatre Club presents the Broadway premiere of James Graham's drama.,N/A,N/A,N/A
Archduke,Patrick Page stars in Rajiv Joseph's new dark comedy.,N/A,N/A,N/A
Private Lives,Noël Coward’s comedy returns to Broadway in a new production.,N/A,N/A,N/A
Wanted,A new musical telling the mostly-true story of outlaw sisters Mary and Martha Clarke.,https://imaging.broadway.com/images/poster-178275/w77/135079-15.jpg,N/A,N/A
The Balusters,"A raucous new play by David Lindsay-Abaire, directed by Kenny Leon.",https://imaging.broadway.com/images/poster-178275/w77/135145-3.jpg,N/A,N/A
